#,,,,,"generated_by='OpenQuake engine 3.11.0', start_date='2021-07-15T04:45:18', checksum=2366342461, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.01,PGA-0.004,PGA-0.002,PGA-0.00099
167.40000,-47.20000,5.965684E-02,9.148644E-02,1.233804E-01,1.637091E-01
167.40000,-47.10000,6.660614E-02,1.016046E-01,1.372112E-01,1.800596E-01
167.40000,-47.00000,7.372787E-02,1.118079E-01,1.498436E-01,1.969409E-01
167.40000,-46.80000,8.851212E-02,1.325046E-01,1.750855E-01,2.293067E-01
167.40000,-46.70000,9.519983E-02,1.420064E-01,1.867312E-01,2.424997E-01
167.40000,-46.40000,1.146709E-01,1.660378E-01,2.166069E-01,2.754945E-01
167.40000,-46.30000,1.218295E-01,1.746140E-01,2.260005E-01,2.871232E-01
167.40000,-46.20000,1.304221E-01,1.854667E-01,2.386109E-01,3.035646E-01
167.40000,-46.10000,1.407733E-01,1.998732E-01,2.575312E-01,3.312898E-01
167.40000,-46.00000,1.522241E-01,2.169105E-01,2.808380E-01,3.636951E-01
167.40000,-45.90000,1.647838E-01,2.332233E-01,2.998628E-01,3.850279E-01
167.40000,-45.80000,1.783688E-01,2.500898E-01,3.191448E-01,4.042189E-01
167.40000,-45.70000,1.930186E-01,2.687292E-01,3.421301E-01,4.298650E-01
167.40000,-45.60000,2.080831E-01,2.878033E-01,3.644902E-01,4.573124E-01
167.40000,-45.50000,2.221372E-01,3.058549E-01,3.850994E-01,4.821904E-01
167.40000,-45.40000,2.343997E-01,3.230132E-01,4.040422E-01,5.045514E-01
167.40000,-45.30000,2.463017E-01,3.412810E-01,4.258331E-01,5.329034E-01
167.40000,-45.20000,2.560370E-01,3.559801E-01,4.465821E-01,5.593653E-01
